year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2016,"Bookkeeping, accounting, & auditing clerks","433031","Computer and Information Sciences and Support Services","11",36305.5,7102.14,3210,936.902,0.405785
2016,"Military, rank not specified","559830","Computer and Information Sciences and Support Services","11",63912.2,10426.2,3158,950.594,1.54923
2016,"Maintenance & repair workers, general","499071","Computer and Information Sciences and Support Services","11",56415.2,14168.2,3141,1071.9,2.45389
2016,"Counselors","211010","Computer and Information Sciences and Support Services","11",47432.4,9244.53,3047,997.359,0.13928
2016,"Social workers","211020","Computer and Information Sciences and Support Services","11",38411.2,10380.8,3041,1170.5,0.123159
2016,"Taxi drivers & chauffeurs","533041","Computer and Information Sciences and Support Services","11",38676.8,16695.9,2972,999.567,1.18911
2016,"Mechanical engineers","172141","Computer and Information Sciences and Support Services","11",92336.8,13610.3,2956,1077.64,0.384421
2016,"Sales engineers","419031","Computer and Information Sciences and Support Services","11",174787.0,38393.5,2886,1028.98,2.89428
2016,"Securities, commodities, & financial services sales agents","413031","Computer and Information Sciences and Support Services","11",194614.0,64604.9,2876,1097.63,0.503598
2016,"Insurance claims & policy processing clerks","439041","Computer and Information Sciences and Support Services","11",36890.8,6746.01,2804,1311.13,0.665807
2016,"Artists & related workers","271010","Computer and Information Sciences and Support Services","11",76968.9,20088.5,2743,1221.57,0.945211
2016,"Miscellaneous mathematical science occupations, including mathematicians & statisticians","1520XX","Computer and Information Sciences and Support Services","11",89059.1,15593.8,2684,976.637,1.21712
2016,"Aerospace engineers","172011","Computer and Information Sciences and Support Services","11",122974.0,15315.5,2667,655.13,0.654013
2016,"Credit counselors & loan officers","132070","Computer and Information Sciences and Support Services","11",83867.7,22015.6,2592,1034.94,0.442423
2016,"Compliance officers","131041","Computer and Information Sciences and Support Services","11",82074.6,15844.0,2588,1078.1,0.436054
2016,"Industrial production managers","113051","Computer and Information Sciences and Support Services","11",103217.0,11757.0,2572,1003.32,0.674931
2016,"Miscellaneous production workers, including semiconductor processors","5191XX","Computer and Information Sciences and Support Services","11",38634.6,10723.7,2566,1059.9,0.898089
2016,"Nursing, psychiatric, & home health aides","311010","Computer and Information Sciences and Support Services","11",31894.0,13402.1,2489,1125.93,0.388104
2016,"Receptionists & information clerks","434171","Computer and Information Sciences and Support Services","11",24463.1,7320.25,2442,1088.25,0.384165
2016,"Other Sales Workers","419099","Computer and Information Sciences and Support Services","11",83359.8,36465.6,2329,963.685,0.563777
2016,"Telecommunications line installers & repairers","499052","Computer and Information Sciences and Support Services","11",60739.6,9657.79,2289,934.355,4.22876
2016,"Construction laborers","472061","Computer and Information Sciences and Support Services","11",37925.3,14175.5,2279,1063.94,0.842762
2016,"Training & development specialists","131151","Computer and Information Sciences and Support Services","11",108648.0,28352.8,2270,863.444,0.847469
2016,"Information & record clerks, all other","434199","Computer and Information Sciences and Support Services","11",67934.6,16117.3,2263,847.079,1.53302
2016,"Construction managers","119021","Computer and Information Sciences and Support Services","11",112483.0,26681.7,2255,929.034,0.281316
2016,"Transportation, storage, & distribution managers","113071","Computer and Information Sciences and Support Services","11",99652.1,25751.2,2195,928.045,0.806279
2016,"Bailiffs, correctional officers, & jailers","333010","Computer and Information Sciences and Support Services","11",40825.6,10242.8,2150,1110.14,0.770757
2016,"Production, planning, & expediting clerks","435061","Computer and Information Sciences and Support Services","11",80466.9,32550.8,2121,1022.07,0.473482
2016,"Miscellaneous legal support workers","232090","Computer and Information Sciences and Support Services","11",60748.9,15851.4,2114,849.955,0.860014
2016,"Preschool & kindergarten teachers","252010","Computer and Information Sciences and Support Services","11",18115.1,5195.08,2086,795.66,0.233394
2016,"Firstline supervisors of mechanics, installers, & repairers","491011","Computer and Information Sciences and Support Services","11",78332.5,14143.1,2065,1008.65,1.37307
2016,"Pharmacists","291051","Computer and Information Sciences and Support Services","11",110428.0,20560.0,2049,922.934,0.187755
2016,"Miscellaneous assemblers & fabricators","512090","Computer and Information Sciences and Support Services","11",36267.8,21213.9,2006,1028.26,0.940294
2016,"Claims adjusters, appraisers, examiners, & investigators","131030","Computer and Information Sciences and Support Services","11",61252.5,8968.37,1989,688.419,0.370742
2016,"Shipping, receiving, & traffic clerks","435071","Computer and Information Sciences and Support Services","11",25826.3,4552.28,1967,1073.3,0.956842
2016,"Recreation & fitness workers","399030","Computer and Information Sciences and Support Services","11",24415.6,10398.3,1964,949.418,0.329926
2016,"Radio & telecommunications equipment installers & repairers","492020","Computer and Information Sciences and Support Services","11",55055.5,8914.25,1904,849.047,2.29369
2016,"Billing & posting clerks","433021","Computer and Information Sciences and Support Services","11",48297.7,14100.4,1882,926.059,0.520832
2016,"Detectives & criminal investigators","333021","Computer and Information Sciences and Support Services","11",99895.5,12513.0,1872,849.219,0.786224
2016,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters","514XXX","Computer and Information Sciences and Support Services","11",32442.2,3913.27,1858,1018.99,2.58116
2016,"Bartenders","353011","Computer and Information Sciences and Support Services","11",25194.6,5516.21,1853,1187.29,0.564798
2016,"Paralegals & legal assistants","232011","Computer and Information Sciences and Support Services","11",78160.7,24018.7,1813,697.146,0.281597
2016,"Technical writers","273042","Computer and Information Sciences and Support Services","11",83039.7,13750.7,1810,883.904,1.03916
2016,"Television, video, & motion picture camera operators & editors","274030","Computer and Information Sciences and Support Services","11",62367.0,15488.7,1761,886.639,1.44001
2016,"Purchasing managers","113061","Computer and Information Sciences and Support Services","11",117968.0,31295.9,1726,685.668,0.380963
2016,"Bus drivers","533020","Computer and Information Sciences and Support Services","11",20820.1,7479.91,1724,817.556,0.798224
2016,"Farmers, ranchers, & other agricultural managers","119013","Computer and Information Sciences and Support Services","11",71588.5,35699.0,1684,864.893,0.631292
2016,"Advertising sales agents","413011","Computer and Information Sciences and Support Services","11",99055.9,40888.1,1668,787.655,0.426278
2016,"Firefighters","332011","Computer and Information Sciences and Support Services","11",60709.6,15114.3,1644,878.771,0.725608
2016,"Librarians","254021","Computer and Information Sciences and Support Services","11",44973.7,10170.5,1637,714.09,0.294802
2016,"Firstline supervisors of construction trades & extraction workers","471011","Computer and Information Sciences and Support Services","11",81746.9,26527.0,1633,665.374,0.543334
2016,"Military enlisted tactical operations & air/weapons specialists & crew members","553010","Computer and Information Sciences and Support Services","11",57210.5,14383.6,1630,952.161,1.91391
2016,"Purchasing agents, except wholesale, retail, & farm products","131023","Computer and Information Sciences and Support Services","11",56322.3,13666.5,1630,742.854,0.337961
2016,"Public relations specialists","273031","Computer and Information Sciences and Support Services","11",108286.0,43802.8,1626,714.67,0.409376
2016,"Heating, air conditioning, & refrigeration mechanics & installers","499021","Computer and Information Sciences and Support Services","11",25412.5,15642.9,1621,1091.26,1.91763
2016,"Firstline supervisors of food preparation & serving workers","351012","Computer and Information Sciences and Support Services","11",31249.2,12160.0,1619,880.729,0.640558
2016,"Editors","273041","Computer and Information Sciences and Support Services","11",30697.2,15519.0,1596,914.241,0.337817
2016,"Other healthcare practitioners & technical Occupations","299000","Computer and Information Sciences and Support Services","11",51825.8,25177.2,1590,775.723,0.534517
2016,"Carpenters","472031","Computer and Information Sciences and Support Services","11",39126.0,12234.0,1551,796.074,0.817785
2016,"Grounds maintenance workers","373010","Computer and Information Sciences and Support Services","11",86839.6,67863.0,1536,734.854,0.562578
2016,"Firstline enlisted military supervisors","552010","Computer and Information Sciences and Support Services","11",86804.3,21603.5,1527,721.2,1.18159
2016,"Personal care aides","399021","Computer and Information Sciences and Support Services","11",19455.2,5187.18,1524,825.871,0.270588
2016,"Tax preparers","132082","Computer and Information Sciences and Support Services","11",66994.2,52024.1,1518,882.221,0.798745
2016,"Automotive service technicians & mechanics","493023","Computer and Information Sciences and Support Services","11",46171.7,15221.4,1511,889.516,1.53089
2016,"Licensed practical & licensed vocational nurses","292061","Computer and Information Sciences and Support Services","11",38805.7,6418.6,1501,916.232,1.05081
2016,"Athletes, coaches, umpires, & related workers","272020","Computer and Information Sciences and Support Services","11",48365.7,24388.6,1484,719.42,0.308347
2016,"Couriers & messengers","435021","Computer and Information Sciences and Support Services","11",34199.6,10404.9,1478,971.445,1.26417
2016,"Writers & authors","273043","Computer and Information Sciences and Support Services","11",79556.5,24145.3,1470,709.351,0.293539
2016,"Logisticians","131081","Computer and Information Sciences and Support Services","11",59647.4,11089.3,1469,821.434,0.648114
2016,"Other financial clerks","433099","Computer and Information Sciences and Support Services","11",103488.0,52321.9,1413,655.324,0.598305
2016,"Diagnostic related technologists & technicians","292030","Computer and Information Sciences and Support Services","11",80616.2,20310.4,1397,584.194,0.33261
2016,"Medical scientists, & life scientists, all other","1910XX","Computer and Information Sciences and Support Services","11",99878.7,42849.4,1382,684.032,0.27379
2016,"Firstline supervisors of police & detectives","331012","Computer and Information Sciences and Support Services","11",54099.1,25172.1,1351,1095.28,0.814976
2016,"Other education, training, & library workers","2590XX","Computer and Information Sciences and Support Services","11",51390.1,11574.5,1347,882.458,0.414255
2016,"Photographic process workers & processing machine operators","519151","Computer and Information Sciences and Support Services","11",62449.6,20767.9,1282,691.027,3.93941
2016,"Postal service mail carriers","435052","Computer and Information Sciences and Support Services","11",83051.6,58209.0,1263,682.049,0.719612
2016,"Physical therapists","291123","Computer and Information Sciences and Support Services","11",63364.9,9375.5,1263,703.488,0.150691
2016,"Social & community service managers","119151","Computer and Information Sciences and Support Services","11",48118.2,11520.3,1253,665.753,0.130266
2016,"Dispatchers","435030","Computer and Information Sciences and Support Services","11",78772.5,43103.4,1250,632.343,0.693156
2016,"Social & human service assistants","211093","Computer and Information Sciences and Support Services","11",63764.9,30313.4,1247,772.619,0.358606
2016,"Miscellaneous personal appearance workers","395090","Computer and Information Sciences and Support Services","11",23660.3,9614.52,1117,845.208,0.948295
2016,"Clinical laboratory technologists & technicians","292010","Computer and Information Sciences and Support Services","11",75563.7,29970.7,1110,611.261,0.201554
2016,"Drafters","173010","Computer and Information Sciences and Support Services","11",104947.0,59665.7,1100,541.742,0.762671
2016,"Advertising & promotions managers","112011","Computer and Information Sciences and Support Services","11",75449.0,26173.6,1082,755.487,0.821748
2016,"Supervisors of transportation & material moving workers","531000","Computer and Information Sciences and Support Services","11",127743.0,81469.8,1078,545.328,0.695747
2016,"Health practitioner support technologists & technicians","292050","Computer and Information Sciences and Support Services","11",25655.3,5247.19,1044,713.243,0.209513
2016,"Private detectives & investigators","339021","Computer and Information Sciences and Support Services","11",81888.0,23940.8,1034,543.649,0.648617
2016,"Chefs & head cooks","351011","Computer and Information Sciences and Support Services","11",36060.6,8554.4,1024,611.532,0.468541
2016,"Baggage porters, bellhops, & concierges","396010","Computer and Information Sciences and Support Services","11",34908.0,18315.2,1022,651.07,1.60979
2016,"Word processors & typists","439022","Computer and Information Sciences and Support Services","11",43820.7,14742.9,1019,582.932,0.390205
